CUI	Uniprot_Name	Uniprot_id	Gene_name	EnsembleGeneId	TTD_id	disgenet_gene_id
C1416623	ERD22_HUMAN	P33947	KDELR2	ENSG00000136240	null	11014
C1425733	ABHD2_HUMAN	P08910	ABHD2	ENSG00000140526	null	11057
C1823179	ALKB6_HUMAN	Q3KRA9	ALKBH6	ENSG00000239382	null	84964
C1826686	PRA14_HUMAN	Q5SWL7	PRAMEF14	ENSG00000204481	null	null
C1825201	F90AK_HUMAN	A6NIJ5	null	ENSG00000233295	null	null
C1539871	SIA7E_HUMAN	Q9BVH7	ST6GALNAC5	ENSG00000117069	null	81849
C1425086	ZFP28_HUMAN	Q8NHY6	ZFP28	ENSG00000196867	null	null
C1421948	MCLN2_HUMAN	Q8IZK6	MCOLN2	ENSG00000153898	null	255231
C1826943	RRP12_HUMAN	Q5JTH9	RRP12	ENSG00000052749	null	23223
C1414612	FHL1_HUMAN	Q13642	FHL1	ENSG00000022267	T81135	2273
C1420505	STX8_HUMAN	Q9UNK0	STX8	ENSG00000170310	null	9482
C3542736	GSE1_HUMAN	Q14687	GSE1	ENSG00000131149	null	23199
C1424484	RM54_HUMAN	Q6P161	MRPL54	ENSG00000183617	null	116541
C1539892	Z280D_HUMAN	Q6N043	ZNF280D	ENSG00000137871	null	null
C1421365	UPK1B_HUMAN	O75841	UPK1B	ENSG00000114638	null	7348
C1425181	TF2L1_HUMAN	Q9NZI6	TFCP2L1	ENSG00000115112	null	29842
C1427100	SL9A8_HUMAN	Q9Y2E8	SLC9A8	ENSG00000197818	null	23315
C1824471	COPRS_HUMAN	Q9NQ92	COPRS	ENSG00000172301	null	55352
C1539124	CSN2_HUMAN	P61201	COPS2	ENSG00000166200	null	9318
C1418346	PCDGA_HUMAN	Q9Y5H3	PCDHGA10	ENSG00000253846	null	56106
C1420757	TLK2_HUMAN	Q86UE8	TLK2	ENSG00000146872	null	11011
C1421318	UTER_HUMAN	P11684	SCGB1A1	ENSG00000149021	T93484	7356
C1413957	DDX17_HUMAN	Q92841	DDX17	ENSG00000100201	null	10521
C1420988	A0A075B6V5_HUMAN	A0A075B6V5	TRAV36DV7	ENSG00000211815	null	null
C1423425	O11G2_HUMAN	Q8NGC1	OR11G2	ENSG00000196832	null	null
C1424070	HS12B_HUMAN	Q96MM6	HSPA12B	ENSG00000132622	T14071	116835
C2240168	VWA3A_HUMAN	A6NCI4	VWA3A	ENSG00000175267	null	146177
C2681904	KAD9_HUMAN	Q5TCS8	AK9	ENSG00000155085	null	221264
C1416610	KCNN3_HUMAN	Q9UGI6	KCNN3	ENSG00000143603	T04388	3782
C1539842	SPIN3_HUMAN	Q5JUX0	SPIN3	ENSG00000204271	null	169981
null	null	null	Malaria DHOdehase	null	T01318	null
null	null	null	HIV PR	null	T56915	null
null	null	null	Influ NA	null	T31595	null
null	null	null	Candi TMP1	null	T52227	null
null	null	null	HIV IN	null	T39087	null
null	null	null	Influ M	null	T95678	null
null	null	null	Bact folP	null	T88240	null
C1426163	DIRA2_HUMAN	Q96HU8	DIRAS2	ENSG00000165023	null	54769
null	null	null	MUT	null	T15569	null
null	null	null	HCV NS3	null	T40492	null
C1413508	CLPX_HUMAN	O76031	CLPX	ENSG00000166855	null	10845
C1418534	KPBB_HUMAN	Q93100	PHKB	ENSG00000102893	null	5257
null	null	null	HCV NS5B	null	T05152	null
C1428630	TPRN_HUMAN	Q4KMQ1	TPRN	ENSG00000176058	null	286262
C1427627	K0319_HUMAN	Q5VV43	KIAA0319	ENSG00000137261	null	9856
C1428457	MSPD1_HUMAN	Q9UJG1	MOSPD1	ENSG00000101928	null	56180
C1427822	KR105_HUMAN	P60370	KRTAP10-5	ENSG00000241123	null	null
C1825878	LRC8C_HUMAN	Q8TDW0	LRRC8C	ENSG00000171488	null	84230
C1423137	OR2T4_HUMAN	Q8NH00	OR2T4	ENSG00000196944	null	null
C1366563	TFF1_HUMAN	P04155	TFF1	ENSG00000160182	T38159	7031
C1424794	LOXL4_HUMAN	Q96JB6	LOXL4	ENSG00000138131	null	84171
C1336677	TRRAP_HUMAN	Q9Y4A5	TRRAP	ENSG00000196367	null	8295
C1421566	ZAN_HUMAN	Q9Y493	ZAN	ENSG00000146839	null	7455
C1427475	AACS_HUMAN	Q86V21	AACS	ENSG00000081760	null	65985
C1539266	DEGS2_HUMAN	Q6QHC5	DEGS2	ENSG00000168350	null	123099
C1423550	LPAR6_HUMAN	P43657	LPAR6	ENSG00000139679	T13484	10161
C1825392	GON4L_HUMAN	Q3T8J9	GON4L	ENSG00000116580	null	54856
C1428331	TSPY2_HUMAN	A6NKD2	TSPY2	ENSG00000168757	null	null
C1429021	ZBT10_HUMAN	Q96DT7	ZBTB10	ENSG00000205189	null	65986
C1822714	SHRPN_HUMAN	Q9H0F6	SHARPIN	ENSG00000179526	null	81858
C1540173	VCIP1_HUMAN	Q96JH7	VCPIP1	ENSG00000175073	null	80124
C1416178	KV107_HUMAN	P01599	IGKV1-17	ENSG00000240382	null	null
C1428797	KDM4B_HUMAN	O94953	KDM4B	ENSG00000127663	null	23030
C1826717	PRR13_HUMAN	Q9NZ81	PRR13	ENSG00000205352	null	54458
C1415485	HBG1_HUMAN	P69891	HBG1	ENSG00000213934	null	3047
C1414292	EF1D_HUMAN	P29692	EEF1D	ENSG00000104529	null	1936
C1824009	Z705F_HUMAN	A8MVS1	null	null	null	null
C1419255	RAMP2_HUMAN	O60895	RAMP2	ENSG00000131477	null	10266
C1824956	DOHH_HUMAN	Q9BU89	DOHH	ENSG00000129932	null	83475
C1824719	CE152_HUMAN	O94986	CEP152	ENSG00000103995	null	22995
C1334111	IL1A_HUMAN	P01583	IL1A	ENSG00000115008	T16340	3552
C2681327	CC151_HUMAN	A5D8V7	CCDC151	ENSG00000198003	null	115948
C1415140	GNA14_HUMAN	O95837	GNA14	ENSG00000156049	null	9630
C1423654	PHC3_HUMAN	Q8NDX5	PHC3	ENSG00000173889	null	80012
C1414119	DNM1L_HUMAN	O00429	DNM1L	ENSG00000087470	null	10059
C1420086	NTCP_HUMAN	Q14973	SLC10A1	ENSG00000100652	T99189,T71907	6554
C1420236	NHRF1_HUMAN	O14745	SLC9A3R1	ENSG00000109062	null	9368
C1422280	LY65C_HUMAN	Q5SRR4	LY6G5C	ENSG00000204428	null	80741
C1442506	MTR1B_HUMAN	P49286	MTNR1B	ENSG00000134640	T48268	4544
C2681481	FA156_HUMAN	Q8NDB6	FAM156A,FAM156B	ENSG00000179304	null	null
C2829371	F192A_HUMAN	Q9GZU8	PSME3IP1	ENSG00000172775	null	null
C1423262	OR4CC_HUMAN	Q96R67	OR4C12	ENSG00000221954	null	null
C1418879	PRDX1_HUMAN	Q06830	PRDX1	ENSG00000117450	null	5052
C1422291	EGFL8_HUMAN	Q99944	EGFL8	ENSG00000241404	null	80864
C1825117	FA58A_HUMAN	Q8N1B3	CCNQ	ENSG00000262919	null	92002
C1826348	PNCB_HUMAN	Q6XQN6	NAPRT	ENSG00000147813	null	93100
C1335290	PURA_HUMAN	Q00577	PURA	ENSG00000185129	null	5813
C1420488	CENPX_HUMAN	A8MT69	CENPX	ENSG00000169689	null	201254
C1421903	CABP8_HUMAN	Q9BXU9	CALN1	ENSG00000183166	null	83698
C1420492	CHIP_HUMAN	Q9UNE7	STUB1	ENSG00000103266	null	10273
C1419630	RL13A_HUMAN	P40429	RPL13A	ENSG00000142541	null	23521
C1413685	CPSF2_HUMAN	Q9P2I0	CPSF2	ENSG00000165934	null	53981
C1414156	DSC1_HUMAN	Q08554	DSC1	ENSG00000134765	null	1823
C1412294	AHRR_HUMAN	A9YTQ3	AHRR	ENSG00000286169	null	57491
C1539574	GLIS3_HUMAN	Q8NEA6	GLIS3	ENSG00000107249	null	169792
C1412186	ADA17_HUMAN	P78536	ADAM17	ENSG00000151694	T82393	6868
C1823339	TMM78_HUMAN	Q5T7P6	null	ENSG00000177800	null	null
C1420216	SC6A6_HUMAN	P31641	SLC6A6	ENSG00000131389	null	6533
C1824549	CCD24_HUMAN	Q8N4L8	CCDC24	ENSG00000159214	null	null
C4085170	CI117_HUMAN	Q5JU67	CFAP157	ENSG00000160401	null	null
C1825991	MIER1_HUMAN	Q8N108	MIER1	ENSG00000198160	null	57708
