CUI	Uniprot_Name	Uniprot_id	Gene_name	EnsembleGeneId	TTD_id
C1416623	ERD22_HUMAN	P33947	KDELR2	ENSG00000136240	null
C1425733	ABHD2_HUMAN	P08910	ABHD2	ENSG00000140526	null
C1823179	ALKB6_HUMAN	Q3KRA9	ALKBH6	ENSG00000239382	null
C1826686	PRA14_HUMAN	Q5SWL7	PRAMEF14	ENSG00000204481	null
C1825201	F90AK_HUMAN	A6NIJ5	null	ENSG00000233295	null
C1539871	SIA7E_HUMAN	Q9BVH7	ST6GALNAC5	ENSG00000117069	null
C1425086	ZFP28_HUMAN	Q8NHY6	ZFP28	ENSG00000196867	null
C1421948	MCLN2_HUMAN	Q8IZK6	MCOLN2	ENSG00000153898	null
C1826943	RRP12_HUMAN	Q5JTH9	RRP12	ENSG00000052749	null
C1414612	FHL1_HUMAN	Q13642	FHL1	ENSG00000022267	T81135
C1420505	STX8_HUMAN	Q9UNK0	STX8	ENSG00000170310	null
C3542736	GSE1_HUMAN	Q14687	GSE1	ENSG00000131149	null
C1424484	RM54_HUMAN	Q6P161	MRPL54	ENSG00000183617	null
C1539892	Z280D_HUMAN	Q6N043	ZNF280D	ENSG00000137871	null
C1421365	UPK1B_HUMAN	O75841	UPK1B	ENSG00000114638	null
C1425181	TF2L1_HUMAN	Q9NZI6	TFCP2L1	ENSG00000115112	null
C1427100	SL9A8_HUMAN	Q9Y2E8	SLC9A8	ENSG00000197818	null
C1824471	COPRS_HUMAN	Q9NQ92	COPRS	ENSG00000172301	null
C1539124	CSN2_HUMAN	P61201	COPS2	ENSG00000166200	null
C1418346	PCDGA_HUMAN	Q9Y5H3	PCDHGA10	ENSG00000253846	null
C1420757	TLK2_HUMAN	Q86UE8	TLK2	ENSG00000146872	null
C1421318	UTER_HUMAN	P11684	SCGB1A1	ENSG00000149021	T93484
C1413957	DDX17_HUMAN	Q92841	DDX17	ENSG00000100201	null
C1420988	A0A075B6V5_HUMAN	A0A075B6V5	TRAV36DV7	ENSG00000211815	null
